,origin,model_year,name
0,europe,70,"bmw 2002, saab 99e, audi 100 ls, volkswagen 1131 deluxe sedan, peugeot 504"
1,europe,71,"peugeot 304, volkswagen model 111, opel 1900, fiat 124b"
2,europe,72,"volvo 145e (sw), volkswagen 411 (sw), peugeot 504 (sw), renault 12 (sw), volkswagen type 3"
3,europe,73,"fiat 124 sport coupe, saab 99le, fiat 128, opel manta, audi 100ls, volvo 144ea, volkswagen super beetle"
4,europe,74,"audi fox, volkswagen dasher, opel manta, fiat 128, fiat 124 tc, fiat x1.9"
5,europe,75,"volkswagen dasher, audi 100ls, peugeot 504, volvo 244dl, saab 99le, volkswagen rabbit"
6,europe,76,"volkswagen rabbit, volvo 245, peugeot 504, mercedes-benz 280s, vw rabbit, fiat 131, renault 12tl, opel 1900"
7,europe,77,"volkswagen rabbit custom, volkswagen dasher, bmw 320i, renault 5 gtl"
8,europe,78,"volkswagen scirocco, audi 5000, volvo 264gl, saab 99gle, peugeot 604sl, volkswagen rabbit custom diesel"
9,europe,79,"mercedes benz 300d, peugeot 504, fiat strada custom, vw rabbit custom"
10,europe,80,"vw dasher (diesel), audi 5000s (diesel), mercedes-benz 240d, renault lecar deluxe, triumph tr7 coupe, vw rabbit c (diesel), vokswagen rabbit, vw rabbit, audi 4000"
11,europe,81,"peugeot 505s turbo diesel, renault 18i, volvo diesel, volkswagen jetta"
12,europe,82,"vw pickup, volkswagen rabbit l"
13,japan,70,"datsun pl510, toyota corona mark ii"
14,japan,71,"toyota corolla 1200, datsun 1200, toyota corona, datsun pl510"
15,japan,72,"datsun 510 (sw), toyouta corona mark ii (sw), toyota corolla 1600 (sw), mazda rx2 coupe, toyota corona hardtop"
16,japan,73,"toyota carina, datsun 610, maxda rx3, toyota mark ii"
17,japan,74,"toyota corona, datsun 710, subaru, honda civic, datsun b210, toyota corolla 1200"
18,japan,75,"datsun 710, toyota corona, honda civic cvcc, toyota corolla"
19,japan,76,"datsun b-210, toyota corolla, toyota mark ii, honda civic"
20,japan,77,"toyota corolla liftback, datsun 810, subaru dl, mazda rx-4, honda accord cvcc, datsun f-10 hatchback"
21,japan,78,"datsun 510, toyota corona, toyota celica gt liftback, datsun 200-sx, honda accord lx, mazda glc deluxe, datsun b210 gx, honda civic cvcc"
22,japan,79,"datsun 210, maxda glc deluxe"
23,japan,80,"honda civic 1500 gl, subaru dl, mazda rx-7 gs, datsun 280-zx, honda accord, datsun 210, mazda glc, toyota corolla tercel, datsun 310, toyota corona liftback, mazda 626, datsun 510 hatchback, toyota corolla"
24,japan,81,"honda prelude, toyota corolla, datsun 200sx, mazda 626, datsun 810 maxima, toyota cressida, subaru, toyota starlet, honda civic 1300, datsun 210 mpg, toyota tercel, mazda glc 4"
25,japan,82,"honda civic (auto), datsun 310 gx, toyota celica gt, honda civic, toyota corolla, nissan stanza xe, mazda glc custom, mazda glc custom l, honda accord"
26,usa,70,"chevrolet chevelle malibu, hi 1200d, dodge d200, chevy c20, ford f250, amc gremlin, ford maverick, amc hornet, plymouth duster, buick estate wagon (sw), plymouth satellite, amc rebel sst, ford torino, ford galaxie 500, chevrolet impala, buick skylark 320, pontiac catalina, amc ambassador dpl, dodge challenger se, plymouth 'cuda 340, chevrolet monte carlo, plymouth fury iii"
27,usa,71,"amc hornet sportabout (sw), chevrolet vega (sw), pontiac firebird, ford mustang, mercury capri 2000, plymouth cricket, pontiac safari (sw), ford country squire (sw), plymouth fury iii, dodge monaco (sw), chevrolet vega 2300, ford pinto, amc gremlin, plymouth satellite custom, ford torino 500, ford galaxie 500, amc matador, chevrolet impala, pontiac catalina brougham, chevrolet chevelle malibu"
